"County","Tax Code","X..Lat.","Y..Long.","CNTY_NBR","FIPS","Shape_Leng","Shape_Area","County.Centroid.Location"
"Hudspeth",229,31.45613738,-105.3869428,116,"48,229",4.987478424,1.12311582,"POINT (-105.3869428 31.45613738)"
"Hunt",231,33.123531,-96.08550014,117,"48,231",2.045719894,0.220775693,"POINT (-96.08550014 33.123531)"
"Hutchinson",233,35.84000866,-101.3547257,118,"48,233",1.93562571,0.231227108,"POINT (-101.3547257 35.84000866)"
"Irion",235,31.30393203,-100.9824126,119,"48,235",2.048732909,0.258119251,"POINT (-100.9824126 31.30393203)"
"Jack",237,33.23345819,-98.1725509,120,"48,237",1.934221464,0.230607004,"POINT (-98.1725509 33.23345819)"
"Jackson",239,28.95603133,-96.57883268,121,"48,239",2.989531452,0.203834941,"POINT (-96.57883268 28.95603133)"
"Jasper",241,30.74391255,-94.02495849,122,"48,241",3.772042636,0.236629114,"POINT (-94.02495849 30.74391255)"
"Jeff Davis",243,30.71559322,-104.1403539,123,"48,243",3.438754776,0.552008437,"POINT (-104.1403539 30.71559322)"
"Jefferson",245,29.88425832,-94.1708778,124,"48,245",5.230217632,0.231656113,"POINT (-94.1708778 29.88425832)"
"Jim Hogg",247,27.04340499,-98.6972921,125,"48,247",2.271751304,0.267624126,"POINT (-98.6972921 27.04340499)"
"Jim Wells",249,27.73131099,-98.0898649,126,"48,249",2.427014479,0.205830636,"POINT (-98.0898649 27.73131099)"
"Johnson",251,32.37899918,-97.36660504,127,"48,251",1.828065697,0.18214922,"POINT (-97.36660504 32.37899918)"
"Jones",253,32.73970429,-99.87850599,128,"48,253",1.952559971,0.23329206,"POINT (-99.87850599 32.73970429)"
"Karnes",255,28.90493782,-97.85960621,129,"48,255",1.986381859,0.179978182,"POINT (-97.85960621 28.90493782)"
"Kaufman",257,32.59927808,-96.28779341,130,"48,257",2.002230724,0.200935223,"POINT (-96.28779341 32.59927808)"
"Kendall",259,29.9446397,-98.71160511,131,"48,259",1.606343256,0.160452828,"POINT (-98.71160511 29.9446397)"
"Kenedy",261,26.92409448,-97.68137783,66,"48,261",5.067864307,0.389397352,"POINT (-97.68137783 26.92409448)"
"Kent",263,33.18284492,-100.7791031,132,"48,263",1.89953853,0.223632298,"POINT (-100.7791031 33.18284492)"
"Kerr",265,30.06153035,-99.35016969,133,"48,265",2.589998866,0.268287315,"POINT (-99.35016969 30.06153035)"
"Kimble",267,30.48676251,-99.74892716,134,"48,267",2.472410508,0.304157368,"POINT (-99.74892716 30.48676251)"
"King",269,33.61641863,-100.2558584,135,"48,269",1.928296567,0.229952945,"POINT (-100.2558584 33.61641863)"
"Kinney",271,29.35000302,-100.4178441,136,"48,271",2.431027941,0.328233005,"POINT (-100.4178441 29.35000302)"
"Kleberg",273,27.43274395,-97.72889778,137,"48,273",4.444938992,0.213851073,"POINT (-97.72889778 27.43274395)"
"Knox",275,33.60614755,-99.74144313,138,"48,275",2.133528675,0.215261898,"POINT (-99.74144313 33.60614755)"
"Lamar",277,33.66746186,-95.57110784,139,"48,277",2.716470116,0.235193679,"POINT (-95.57110784 33.66746186)"
"Lamb",279,34.06861242,-102.3517095,140,"48,279",2.03117493,0.257464651,"POINT (-102.3517095 34.06861242)"
"Lampasas",281,31.19627791,-98.24142711,141,"48,281",1.998939902,0.175008429,"POINT (-98.24142711 31.19627791)"
"La Salle",283,28.34621032,-99.1034773,142,"48,283",2.402579048,0.358902539,"POINT (-99.1034773 28.34621032)"
"Lavaca",285,29.38437003,-96.93020993,143,"48,285",1.928384427,0.233736863,"POINT (-96.93020993 29.38437003)"
"Lee",287,30.31065065,-96.96568735,144,"48,287",2.213853346,0.15399046,"POINT (-96.96568735 30.31065065)"
"Leon",289,31.29655719,-95.99554292,145,"48,289",2.92344693,0.265163044,"POINT (-95.99554292 31.29655719)"
"Liberty",291,30.15153187,-94.8120925,146,"48,291",2.401832368,0.284788514,"POINT (-94.8120925 30.15153187)"
"Limestone",293,31.54541898,-96.58056718,147,"48,293",1.942498836,0.229530725,"POINT (-96.58056718 31.54541898)"
"Lipscomb",295,36.27778432,-100.27317,148,"48,295",1.979805548,0.242396091,"POINT (-100.27317 36.27778432)"
"Live Oak",297,28.3514375,-98.12474493,149,"48,297",2.313603449,0.257196033,"POINT (-98.12474493 28.3514375)"
"Llano",299,30.70566579,-98.68387398,150,"48,299",2.32327609,0.235689182,"POINT (-98.68387398 30.70566579)"
"Loving",301,31.84912973,-103.5799063,151,"48,301",2.144683446,0.166916127,"POINT (-103.5799063 31.84912973)"
"Lubbock",303,33.6101944,-101.8205745,152,"48,303",1.912739,0.226605557,"POINT (-101.8205745 33.6101944)"
"Lynn",305,33.17685487,-101.8160235,153,"48,305",1.900233625,0.223592766,"POINT (-101.8160235 33.17685487)"
"McCulloch",307,31.19896752,-99.34754972,160,"48,307",2.440158495,0.263267604,"POINT (-99.34754972 31.19896752)"
"McLennan",309,31.55234489,-97.20184883,161,"48,309",2.088494087,0.260991644,"POINT (-97.20184883 31.55234489)"
"McMullen",311,28.35351091,-98.56842256,162,"48,311",2.118908742,0.277594527,"POINT (-98.56842256 28.35351091)"
"Madison",313,30.96564645,-95.92818441,154,"48,313",2.012434968,0.115431297,"POINT (-95.92818441 30.96564645)"
"Marion",315,32.79797929,-94.35725239,155,"48,315",2.03368551,0.104798923,"POINT (-94.35725239 32.79797929)"
"Martin",317,32.30605847,-101.9512464,156,"48,317",1.912684351,0.227088514,"POINT (-101.9512464 32.30605847)"
"Mason",319,30.71742293,-99.2263026,157,"48,319",1.92661454,0.227714795,"POINT (-99.2263026 30.71742293)"
"Matagorda",321,28.86711039,-95.98533866,158,"48,321",8.747459315,0.272799518,"POINT (-95.98533866 28.86711039)"
"Maverick",323,28.74260943,-100.3144638,159,"48,323",2.862972203,0.308980941,"POINT (-100.3144638 28.74260943)"
"Medina",325,29.35520493,-99.11008331,163,"48,325",2.496999583,0.321765559,"POINT (-99.11008331 29.35520493)"
"Menard",327,30.88981785,-99.82061472,164,"48,327",2.017755354,0.220448427,"POINT (-99.82061472 30.88981785)"
"Midland",329,31.86921148,-102.0315032,165,"48,329",1.893898494,0.222664882,"POINT (-102.0315032 31.86921148)"
"Milam",331,30.78625299,-96.97683495,166,"48,331",2.302703729,0.249329869,"POINT (-96.97683495 30.78625299)"
"Mills",333,31.49524259,-98.59552736,167,"48,333",2.438547822,0.184389335,"POINT (-98.59552736 31.49524259)"
"Mitchell",335,32.30636024,-100.9211128,168,"48,335",1.914674328,0.227360727,"POINT (-100.9211128 32.30636024)"
"Montague",337,33.67496328,-97.72466993,169,"48,337",2.090266045,0.235632601,"POINT (-97.72466993 33.67496328)"
"Montgomery",339,30.30022409,-95.50301411,170,"48,339",2.689243253,0.261548074,"POINT (-95.50301411 30.30022409)"
"Moore",341,35.83768863,-101.8929556,171,"48,341",1.949867354,0.234984076,"POINT (-101.8929556 35.83768863)"
"Morris",343,33.11368507,-94.73205137,172,"48,343",1.538698151,0.064495483,"POINT (-94.73205137 33.11368507)"
"Motley",345,34.07409017,-100.7798961,173,"48,345",2.0037168,0.250394064,"POINT (-100.7798961 34.07409017)"
"Nacogdoches",347,31.61604108,-94.6158776,174,"48,347",4.078397345,0.241586771,"POINT (-94.6158776 31.61604108)"
"Navarro",349,32.04695429,-96.47248134,175,"48,349",2.496053929,0.268572597,"POINT (-96.47248134 32.04695429)"
"Newton",351,30.78619977,-93.74462993,176,"48,351",3.669101627,0.229430421,"POINT (-93.74462993 30.78619977)"
"Nolan",353,32.3034718,-100.4060989,177,"48,353",1.910603822,0.226700617,"POINT (-100.4060989 32.3034718)"
"Nueces",355,27.72621549,-97.61767326,178,"48,355",9.814653083,0.203472348,"POINT (-97.61767326 27.72621549)"
"Ochiltree",357,36.27846334,-100.815653,179,"48,357",1.967321287,0.238826482,"POINT (-100.815653 36.27846334)"
"Oldham",359,35.40497586,-102.6029949,180,"48,359",2.638663818,0.385882971,"POINT (-102.6029949 35.40497586)"
"Orange",361,30.12807126,-93.89653794,181,"48,361",1.872029884,0.088532121,"POINT (-93.89653794 30.12807126)"
"Palo Pinto",363,32.75316856,-98.31299522,182,"48,363",2.014896515,0.245592147,"POINT (-98.31299522 32.75316856)"
"Panola",365,32.16222886,-94.30552858,183,"48,365",2.0573828,0.203268291,"POINT (-94.30552858 32.16222886)"
"Parker",367,32.77852261,-97.80472194,184,"48,367",1.910490395,0.225917327,"POINT (-97.80472194 32.77852261)"
"Parmer",369,34.53014507,-102.784594,185,"48,369",1.905044997,0.225119009,"POINT (-102.784594 34.53014507)"
